"","rw_index","perc_corr"
"1",2,0.683333333333333
"2",1,0.586666666666667
"3",1,0.693333333333333
"4",1,0.67
"5",2,0.633333333333333
"6",2,0.72
"7",1,0.646666666666667
"8",3,0.683333333333333
"9",2,0.666666666666667
"10",1,0.533333333333333
"11",2,0.61
"12",3,0.433333333333333
"13",2,0.736666666666667
"14",3,0.723333333333333
"15",2,0.816666666666667
"16",3,0.553333333333333
"17",1,0.66
"18",1,0.693333333333333
"19",3,0.496666666666667
"20",3,0.566666666666667
"21",2,0.643333333333333
"22",2,0.703333333333333
"23",3,0.62
"24",1,0.57
"25",2,0.756666666666667
"26",3,0.436666666666667
"27",3,0.686666666666667
"28",1,0.71
"29",2,0.633333333333333
"30",3,0.69
"31",1,0.616666666666667
