,rank_rr,rank_unc,group
0,1.2216494845360826,1.1391752577319587,Human
1,1.4438202247191012,0.9044943820224719,Human
2,1.599009900990099,0.7079207920792079,Human
3,1.4176470588235295,1.0411764705882354,Human
4,1.1571428571428573,1.1571428571428573,Human
5,1.1666666666666667,1.2543859649122806,Human
6,1.532258064516129,0.7365591397849462,Human
7,1.4904761904761905,0.8238095238095238,Human
8,1.525,0.765,Human
9,1.58,0.6333333333333333,Human
10,1.467479674796748,0.9715447154471545,Human
11,1.2358490566037736,1.1037735849056605,Human
12,1.2241379310344827,1.1896551724137931,Human
13,1.2263157894736842,1.194736842105263,Human
14,1.1842105263157894,1.394736842105263,Human
15,1.1462585034013606,1.010204081632653,Human
16,1.5387931034482758,0.9525862068965517,Human
17,1.46484375,0.91796875,Human
18,1.1527777777777777,0.9027777777777778,Human
19,1.6325301204819278,0.42771084337349397,Human
20,1.2662337662337662,1.2142857142857142,Human
21,1.2265625,1.3984375,Human
22,1.1440677966101696,1.194915254237288,Human
23,1.3676470588235294,1.1205882352941177,Human
24,1.8333333333333333,0.24509803921568626,Human
25,1.2169811320754718,1.1855345911949686,Human
26,1.2878787878787878,1.3181818181818181,Human
27,1.3641304347826086,0.9184782608695652,Human
28,1.2149122807017543,1.3640350877192982,Human
29,1.1209677419354838,0.8629032258064516,Human
30,1.419811320754717,1.0613207547169812,Human
31,1.2560975609756098,0.6463414634146342,RNN
32,1.3660714285714286,0.7589285714285714,RNN
33,1.2916666666666667,1.0416666666666667,RNN
34,1.369047619047619,0.8214285714285714,RNN
35,1.4696969696969697,0.5606060606060606,RNN
36,1.2065217391304348,0.75,RNN
37,1.486842105263158,0.8289473684210527,RNN
38,1.6125,0.5875,RNN
39,1.0128205128205128,0.9871794871794872,RNN
40,1.196969696969697,0.803030303030303,RNN
41,1.161764705882353,0.8676470588235294,RNN
42,1.25,0.9880952380952381,RNN
43,1.5795454545454546,0.7159090909090909,RNN
44,1.2954545454545454,1.0681818181818181,RNN
45,1.2159090909090908,0.875,RNN
46,1.2027027027027026,0.9864864864864865,RNN
47,1.1458333333333333,1.0208333333333333,RNN
48,1.39,0.81,RNN
49,1.2446808510638299,0.8829787234042553,RNN
50,1.1982758620689655,1.0086206896551724,RNN
51,1.107843137254902,0.8921568627450981,RNN
52,1.4245283018867925,0.839622641509434,RNN
53,1.2346938775510203,0.8469387755102041,RNN
54,1.1759259259259258,0.9351851851851852,RNN
55,1.1323529411764706,1.1029411764705883,RNN
56,1.2083333333333333,1.0416666666666667,RNN
57,1.2209302325581395,0.9651162790697675,RNN
58,1.2804878048780488,0.7682926829268293,RNN
59,1.2317073170731707,0.7682926829268293,RNN
60,1.0454545454545454,1.2878787878787878,RNN
61,1.1691176470588236,0.5661764705882353,RNN
62,1.548780487804878,0.7439024390243902,RNN
63,1.0916666666666666,0.9583333333333334,RNN
64,1.1326530612244898,0.8673469387755102,RNN
65,1.1527777777777777,0.625,RNN
66,1.2976190476190477,0.7976190476190477,RNN
67,1.064102564102564,0.9358974358974359,RNN
68,1.3461538461538463,0.8333333333333334,RNN
69,1.0625,1.0625,RNN
70,1.076086956521739,0.9891304347826086,RNN
71,1.4428571428571428,0.9571428571428572,RNN
72,1.2023809523809523,0.9166666666666666,RNN
73,1.0978260869565217,0.9891304347826086,RNN
74,1.175,0.775,RNN
75,1.2435897435897436,0.7564102564102564,RNN
76,1.3775510204081634,0.8673469387755102,RNN
77,1.0853658536585367,0.7439024390243902,RNN
78,0.9426229508196722,0.7459016393442623,RNN
79,1.4625,0.6375,RNN
80,1.4387755102040816,0.3979591836734694,RNN
81,1.127906976744186,0.8488372093023255,RNN
82,1.3974358974358974,0.6282051282051282,RNN
83,1.296875,0.546875,RNN
84,1.236842105263158,0.9385964912280702,RNN
85,1.1477272727272727,1.1022727272727273,RNN
86,1.3055555555555556,0.8055555555555556,RNN
87,1.3,0.9666666666666667,RNN
88,1.2017543859649122,0.9035087719298246,RNN
89,1.2410714285714286,0.8482142857142857,RNN
90,1.2604166666666667,0.8645833333333334,RNN
91,1.1857142857142857,0.7857142857142857,RNN
92,1.4565217391304348,0.8913043478260869,RNN
93,1.2692307692307692,0.7307692307692307,RNN
94,1.3083333333333333,0.7916666666666666,RNN
95,1.1923076923076923,0.6076923076923076,RNN
96,1.5064102564102564,0.5833333333333334,RNN
97,1.2735849056603774,0.9716981132075472,RNN
98,1.1440677966101696,1.076271186440678,RNN
99,1.1,0.9888888888888889,RNN
100,1.3679245283018868,0.7264150943396226,RNN
101,1.3,0.6818181818181818,RNN
102,1.1097560975609757,0.8902439024390244,RNN
103,1.1944444444444444,1.0462962962962963,RNN
104,1.3161764705882353,0.7426470588235294,RNN
105,1.1125,1.0375,RNN
106,1.3444444444444446,0.7,RNN
107,1.3472222222222223,0.7361111111111112,RNN
108,1.1826923076923077,1.0288461538461537,RNN
109,1.4404761904761905,0.7261904761904762,RNN
110,1.336734693877551,0.7448979591836735,RNN
111,1.2211538461538463,0.8557692307692307,RNN
112,1.126865671641791,0.9029850746268657,RNN
113,1.2023809523809523,0.8452380952380952,RNN
114,1.25,1.1203703703703705,RNN
115,0.9285714285714286,1.1666666666666667,RNN
116,1.375,0.5972222222222222,RNN
117,1.1341463414634145,1.0853658536585367,RNN
118,1.2017543859649122,1.043859649122807,RNN
119,1.3,0.94,RNN
120,1.053191489361702,0.9893617021276596,RNN
